Data
Headers,Channel 0 (PXI1Slot5/0) Amplitude,Channel 0 (PXI1Slot5/0) Mean,Channel 0 (PXI1Slot5/0) Frequency
Channel,Channel 0,Channel 0,Channel 0
Measurement,Amplitude,Mean,Frequency
Value,0.686560899484903,0.00998816470606794,8.00407439402953
Mean,5.36741075478494,0.0359167623859961,4.00203719701477
Minimum,0.686560899484903,0.00998816470606794,0
Maximum,10.048260610085,0.0618453600659242,8.00407439402953
Statistical range,9.36169971060008,0.0518571953598563,8.00407439402953
Standard deviation,6.61972134879746,0.0366685744922699,5.65973528113989
Count,2,2,2
