Data
Headers,Channel 0 (PXI1Slot5/0) Amplitude,Channel 0 (PXI1Slot5/0) Frequency
Channel,Channel 0,Channel 0
Measurement,Amplitude,Frequency
Value,0.947589993942529,2498.15760876354
Mean,1.36952600578,3385.32729399643
Minimum,0.940792361274362,2494.34874113337
Maximum,1.47780534205958,4895.37700679077
Statistical range,0.537012980785221,2401.0282656574
Standard deviation,0.163263221876622,1116.07436552432
Count,352,352
