Data
Headers,Channel 0 (PXI1Slot5/0) Amplitude,Channel 0 (PXI1Slot5/0) Frequency
Channel,Channel 0,Channel 0
Measurement,Amplitude,Frequency
Value,0.0992454369552433,4.437774395565
Mean,0.0808918287511915,2.88824796119863
Minimum,0.0625382205471396,1.33872152683225
Maximum,0.0992454369552433,4.437774395565
Statistical range,0.0367072164081037,3.09905286873275
Standard deviation,0.0259559216406522,2.19136129873655
Count,2,2
