Data
Headers,Channel 0 (PXI1Slot5/0) Amplitude,Channel 0 (PXI1Slot5/0) Mean,Channel 0 (PXI1Slot5/0) Frequency
Channel,Channel 0,Channel 0,Channel 0
Measurement,Amplitude,Mean,Frequency
Value,0.0447922227876916,0.0768919933474167,1.31516897871371
Mean,0.0155979124689442,0.0608755144464006,1.66838835566168
Minimum,0.00934556942229392,0.0593396046331935,0
Maximum,0.0558005531929666,0.0768919933474167,6.18732981507651
Statistical range,0.0464549837706727,0.0175523887142232,6.18732981507651
Standard deviation,0.0141501014553158,0.00407061690136573,1.50720936790136
Count,33,33,33
