Data
Headers,Channel 0 (PXI1Slot5/0) Amplitude,Channel 0 (PXI1Slot5/0) Frequency
Channel,Channel 0,Channel 0
Measurement,Amplitude,Frequency
Value,1.26843825588003,4729.39020425054
Mean,1.39046303802725,3418.9397651588
Minimum,0.940792361274362,2494.34874113337
Maximum,1.47780534205958,4895.37700679077
Statistical range,0.537012980785221,2401.0282656574
Standard deviation,0.146389598841308,1124.3857035664
Count,327,327
